UDI,Air_Temperature_K,Process_Temperature_K,Rotational_Speed_RPM,Torque_Nm,Tool_Wear_min,Pressure_bar,Vibration_mm_s,Machine_Failure,Failure_Type
1,298.56,311.15,1765.0,51.45,175,6.84,2.24,1,Power Failure
2,304.03,316.43,1654.3,63.85,210,5.84,0.5,1,Tool Wear Failure
3,301.95,312.08,1670.9,71.54,225,5.09,2.66,1,Tool Wear Failure
4,300.69,312.39,1158.5,57.76,193,5.45,1.78,0,No Failure
5,296.48,308.38,1803.0,52.29,204,5.52,6.68,1,Tool Wear Failure
6,296.48,308.48,1565.3,59.18,132,4.54,1.92,0,No Failure
7,295.55,308.45,1407.7,49.89,198,6.19,8.65,0,No Failure
8,303.23,315.9,1535.8,67.2,73,6.05,2.34,0,No Failure
9,300.71,313.75,1100.0,62.76,96,7.35,9.9,0,No Failure
10,301.73,315.55,1602.2,58.0,76,7.01,2.13,1,Power Failure
11,295.2,309.26,1242.7,62.63,112,4.68,2.16,0,No Failure
12,304.21,317.8,1161.8,60.87,69,6.48,4.84,0,No Failure
13,302.91,317.69,1119.4,69.54,231,4.36,4.36,1,Tool Wear Failure
14,297.02,307.11,1778.2,54.28,75,6.34,0.74,0,No Failure
15,296.73,307.71,1342.7,61.43,24,4.88,2.67,0,No Failure
16,296.74,306.78,1883.4,47.05,126,4.27,1.77,0,No Failure
17,297.89,311.13,1366.0,67.87,14,5.84,1.67,0,No Failure
18,299.99,314.48,1100.0,86.54,27,2.29,2.66,0,No Failure
19,299.1,310.32,1220.9,68.98,53,3.4,1.98,0,No Failure
20,297.77,312.4,1809.0,65.78,111,5.29,2.87,0,No Failure
21,300.81,311.11,1461.0,48.88,104,5.6,1.03,0,No Failure
22,296.33,311.0,1362.9,66.32,192,5.06,0.57,1,Power Failure
23,297.78,309.53,1540.0,50.23,177,3.6,4.97,0,No Failure
24,298.48,308.99,1625.4,44.72,102,4.52,5.5,0,No Failure
25,299.33,311.76,1779.3,49.02,80,5.97,4.76,1,Power Failure
26,302.46,313.74,1862.1,66.68,76,6.2,2.57,0,No Failure
27,296.9,308.32,1410.1,73.3,186,5.48,1.86,1,Power Failure
28,299.89,311.42,1168.5,71.06,12,6.89,1.48,0,No Failure
29,300.63,314.64,1396.6,48.74,3,5.98,1.26,0,No Failure
30,295.44,308.14,1565.1,58.74,191,4.6,2.34,0,No Failure
31,300.77,312.33,1259.1,69.84,115,5.16,5.41,1,Power Failure
32,296.62,309.67,1260.7,68.54,31,3.82,1.38,1,Power Failure
33,295.62,309.2,1585.9,41.84,57,5.37,5.42,0,No Failure
34,304.01,315.38,1487.8,53.34,224,6.83,0.61,1,Overstrain Failure
35,304.17,316.24,1508.2,61.2,206,6.32,2.98,1,Tool Wear Failure
36,302.68,313.29,1310.4,71.16,170,7.18,3.45,1,Power Failure
37,297.89,308.8,1442.4,41.19,116,5.14,1.62,0,No Failure
38,295.93,309.33,1268.9,65.0,125,7.12,0.97,0,No Failure
39,301.5,312.41,1722.5,58.98,234,5.27,4.52,1,Tool Wear Failure
40,299.18,311.81,1758.8,65.32,232,7.27,2.58,1,Tool Wear Failure
41,296.16,309.7,1100.0,76.93,52,5.47,11.87,1,Overstrain Failure
42,299.7,310.24,1267.6,72.47,195,6.35,5.47,1,Overstrain Failure
43,295.33,308.16,1125.9,61.48,47,7.27,5.49,0,No Failure
44,303.64,314.92,1337.5,46.17,51,5.27,0.5,0,No Failure
45,297.46,312.27,1479.1,58.49,162,5.76,1.4,1,Power Failure
46,301.29,313.71,1137.6,79.26,97,7.05,0.86,1,Power Failure
47,297.96,311.99,1269.5,80.54,224,5.34,0.5,1,Tool Wear Failure
48,299.94,312.69,1249.0,74.13,21,3.91,2.43,0,No Failure
49,300.19,310.41,1551.8,65.26,123,8.07,4.44,1,Power Failure
50,296.76,309.92,1517.3,65.45,220,4.94,1.06,1,Tool Wear Failure
51,304.21,318.97,1319.6,60.05,217,5.69,0.5,1,Tool Wear Failure
52,302.36,315.37,1544.2,59.82,38,6.89,1.14,1,Power Failure
53,303.93,318.02,1363.3,81.42,88,4.77,2.2,1,Power Failure
54,303.5,317.92,1432.1,53.93,149,4.29,2.08,0,No Failure
55,300.68,311.82,1918.4,69.78,38,5.8,2.52,1,Power Failure
56,303.76,314.82,1835.1,52.08,232,3.35,3.4,1,Tool Wear Failure
57,295.84,308.9,1175.1,81.75,220,5.15,2.47,1,Tool Wear Failure
58,296.86,308.92,1707.4,43.78,40,5.79,4.62,0,No Failure
59,295.43,309.63,1702.8,63.8,29,5.18,1.08,1,Power Failure
60,298.09,312.59,1212.9,60.37,20,3.65,2.01,0,No Failure
61,298.69,310.46,1704.7,43.75,218,7.41,3.81,1,Tool Wear Failure
62,297.58,308.76,1884.5,56.5,46,5.62,3.09,0,No Failure
63,302.87,316.78,1219.4,77.71,100,7.22,7.99,1,Power Failure
64,298.39,309.76,1270.6,58.14,108,5.19,1.12,0,No Failure
65,297.67,311.78,1754.4,41.92,144,4.44,3.86,0,No Failure
66,300.16,312.27,1567.9,59.72,17,5.82,1.47,1,Power Failure
67,296.34,309.68,1637.9,58.37,54,5.24,1.33,0,No Failure
68,302.62,313.1,1585.1,65.78,224,4.09,5.24,1,Tool Wear Failure
69,295.71,308.83,1597.7,69.54,218,7.26,2.45,1,Tool Wear Failure
70,304.38,316.63,1168.4,68.04,188,4.75,3.05,1,Overstrain Failure
71,302.34,315.27,1761.8,75.32,5,3.29,1.57,1,Power Failure
72,296.89,307.73,1792.4,58.39,78,7.09,1.64,1,Power Failure
73,295.05,308.74,1442.7,59.68,151,4.89,0.56,1,Power Failure
74,302.75,317.06,1489.1,46.1,66,4.77,2.87,0,No Failure
75,301.72,312.8,1117.2,67.03,218,3.38,0.98,1,Tool Wear Failure
76,301.93,312.4,1628.6,56.06,152,7.59,2.24,1,Power Failure
77,302.33,312.45,1643.0,68.74,17,3.95,4.61,1,Power Failure
78,295.7,308.91,1484.5,66.94,218,5.57,0.5,1,Tool Wear Failure
79,298.41,311.44,1781.1,44.58,230,6.6,13.93,1,Tool Wear Failure
80,296.1,308.83,1416.5,65.39,19,6.01,1.31,0,No Failure
81,303.2,314.36,1641.2,65.89,128,5.43,2.29,1,Power Failure
82,300.92,312.88,1245.1,82.38,73,3.46,3.04,1,Power Failure
83,298.14,311.12,1494.1,70.99,94,4.53,1.27,1,Power Failure
84,295.6,308.09,1456.4,70.48,43,5.73,1.69,1,Power Failure
